Projects
11043-Eischen Property
12092-Hwy 35 Culvert Replacement
12101-Cavalier Meadows
13113-JTS - Sunbreak Subdivision
13116-Stevens Creek Apartments
13118- Weatherhill
13119-Port of Portland Economy Lot
13140-Berliner Driveway
13143-Independance ES
13144-Omaha Ave. - ADA Ramp
13145-Independence Peer Review
13147-Riverside Homes Feasibilities
13148-Independence Peer Review (Myers Towing)
13149-EB-22850 Weatherhill
13150-HSD Bus Yard
13151-Elk Ridge Phase 1
13152-Compass - SE 64th Public Improvements
13153-Dania - Beaverton
13154-1805 SE 148th Ave
13156-Creighton - 905 7th St. Commercial
13157-NE Halsey ZC & Sub
13158-Independence Peer Review (Riverside Place)
13160-NW Springville Residence
13161-Sherwood - Staff Reports
13162-JTS-113th Apartments
13165-162nd Investors - 162nd Mix-Use Master Plan
13167-Brookwood Glen
13168-Davis Property
13169-Wichita Parking Lot
13170-DDSD Drywell Decommissioning
13171-JTS-Weatherhill II
13172-HSD-Reedville ES
13173-Sayre Property
14175-Mahlum-FOTC
14176-Eola Hills
14178-Market St Townhomes
14179-Sauvie Island Rip Rap Permitting
14181-Pacific Papertech Site Feasibility
14182-Newell Creek Commercial
14183-106th Apartments
14184-THPRD Center Park Pathway
14185-Legacy-Meinecke Partition
14186-Canyon Creek
14187-Fuchs Partition
14188-Elk Ridge Phase 5
14188.21-Elk Ridge
14189-Country Heritage Estates Subdivision
14190-THPRD-Greenway Park Pathway Flooding
14191-PPS-Faubion ES
14193-Lakeview Partition
14194- BRS - NE 23rd Avenue
14195-JTS-Main Street Subdivision
14196-Unger Road FHA
14197-BRS-Garden Home Subdivision
14198-Abernethy Acres
14199-Independence-2014 Misc. Engineering
14199.20 - Peer Review (Dave Montange Subdivision)
14200-Tamarisk Subdivision
14202-Watford City Planning
14203-LRS- N Maryland Apartments
14204-THPRD-Raleigh Park
14205- SE 100th Avenue Subdivision
14207-Rock Creek Trail HPR
14208-Webster Road
14209-ADS-ITD Meridain to Five Mile
14210-Pioneer Ridge Apartments
14212-Upper Drive
14213 -JTS-Monterey Avenue Apartments
14214-Oregon Clinic Additions
14215-Kangas Subdivision
14216-THPRD Greenway Park Bridge
14218-SE Schiller Apartments
14219-PBI-Yamill Residence
14220-RS Davis Recycling
14221-PCC On Call LEEKA
14222-Goodall Court Partition
14223-Greenworks-Independence Sports Park
14225-Martell Commons
14226-THPRD-Trails
14227-Hill Top Land Division
14229-Hill-Johnson Road
14230-HSD Bus Yard Expansion
14231-WDG-Fishermans
14233-Harmony Mini Storage
14234-Roth Place Lots 5 & 6
14235-SLC-Nordahl Property
14236-BSA-Overton
14237-HSD District Paving Evaluation
14238-Beech Park
14239-Cal Farms No Rise Cert
14241-HSD Ladd Acres Bus Expansion
14242-HSD Lenox Bus Expansion
14243-HSD Butternut Bus Expansion
14244-1430 Rosemont
15246-Coppedge Property
15247.10-Independence Peer Review (Riverside Place)
15247.20-Independence  Misc. Storm
15247.30-F Street Bridge
15248-Webster Road
15249-SW California PW
15250-Independence-2015 Waterline Replacement
15251-LRS-Goldsmith Condos
15252-SE Aldridge Partition
15253-DCH-SW 4th Street Partition
15254-1st Street Condos
15255-Blount International
15257-JTS-Willis Property
15258-Beaverton Avenue
15259-Scappoose Industrial
15260-HSD Satellite Bus Yard
15261-Lincoln City-Hwy 101 & NE 22nd Intersection Improvements
15262-HSD Bus Loop Expansions
15263-JTS-Trillium Woods
15264-Nature's Needs Lagoon Cover
15265-LRS-SW 12th & SW Morrison
15266-Upper Midhill Estates (Reesman)
15269-4154 SW Patrick Way
15270-ADS On Call
15272-Canby Zone Change
15273-2105 8th St-Columbia City
15274-552 4th Street Townhomes
15275 - McMinville Bridge
15276-149th Apartments
15277-Village Health Care
15278-Burns Property_PH1430 Rosemont
15279-JPR-Santos
15280-PCR Inc-ODOT
15281-Stark Street Apartments
15282-SE 6th Ave
15283-DJ2-Troutdale Storage
15284-RH-Commonwealth Place
15285-Valley Community Parking
15286-Carriage Way Partition
15287-HSD Aerial Photography
15288-Administration Services
15289-Washington County MB
15290-River Ridge
15291-Taft Beach-51st and Hwy101
15292-Couch Park
15293-Burnside & 20th St Pedestrian Improvements
15294-Independence SW Arterial
15295-Hewett Blvd Cheema
15296-LRS-Cornell Oaks Office Building
15297-Commonwealth Trail Layout
15298-Forest Grove-House Analysis
15299-LaSalle
15300-LRS-Kingpins Portland
15301-THPRD-Somerset Park
15302-3800 Ridge Lane
15303-CoB Storm Water Modeling
15304-6141 SW Canyon rezone
15305-Alderbrook Apartments
15306-Cape Kiwanda Master Plan
15307-Bates Property Drainage Calculations
15308-The Atwater Partitions
15309-Lincoln HS
15310-Pfeifer Property
15312-SE Rupert Multi-Family
15313-The Green Planet
15314-Greenbluff Drive
15315-Cornelius Planning On-Call
15316-Wingate Crossing
15317-3895 SE Brookwood Avenue
15318-Grandview Lot 8
15319-Pervious Concrete Presentation-Hawaii
16320-Confluent-Barrows Sr Housing
16321-Mountain View Village
16322-NE Front Street Memory Care
16323-King Road Subdivision
16324-EGE-Riverside LLA
16325-S Flax Plant Road
16326_Round Butte Dam FVES
16327-PV Storm Water Certificate
16328-Oak Lodge Sanitary District
16329-LRS-14th and Raleigh
16330-Emmert Properties
16331-Gladstone Park Storage
16332-Englewood
16336-Forward Stride
16337-ADS US-20 Broadway StormTech
16338-Sunbreak Lot 3
16339 Quinault Casino & Beach Resort
